Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-10-26 06:18,2.684,0.016,1,0,0,0,p
2018-10-26 06:24,2.664,0.013,1,0,0,0,p
2018-10-26 06:30,2.661,0.013,0,0,0,0,p
2018-10-26 06:36,2.641,0.010,1,0,0,0,p
2018-10-26 06:42,2.612,0.013,1,0,0,0,p
2018-10-26 06:48,2.592,0.016,1,0,0,0,p
2018-10-26 06:54,2.585,0.013,1,0,0,0,p
2018-10-26 07:00,2.539,0.020,1,0,0,0,p
2018-10-26 07:06,2.539,0.016,1,0,0,0,p
2018-10-26 07:12,2.536,0.016,1,0,0,0,p
2018-10-26 07:18,2.507,0.016,1,0,0,0,p
2018-10-26 07:24,2.503,0.013,1,0,0,0,p
2018-10-26 07:30,2.484,0.010,1,0,0,0,p
2018-10-26 07:36,2.454,0.013,1,0,0,0,p
2018-10-26 07:42,2.431,0.016,0,0,0,0,p
2018-10-26 07:48,2.392,0.016,1,0,0,0,p
2018-10-26 07:54,2.372,0.020,1,0,0,0,p
2018-10-26 08:00,2.362,0.016,0,0,0,0,p
2018-10-26 08:06,2.303,0.016,1,0,0,0,p
2018-10-26 08:12,2.290,0.013,0,0,0,0,p
2018-10-26 08:18,2.260,0.016,1,0,0,0,p
2018-10-26 08:24,2.238,0.016,1,0,0,0,p
2018-10-26 08:30,2.221,0.020,0,0,0,0,p
2018-10-26 08:36,2.201,0.020,1,0,0,0,p
2018-10-26 08:42,2.175,0.033,0,0,0,0,p
2018-10-26 08:48,2.152,0.026,0,0,0,0,p
2018-10-26 08:54,2.119,0.020,0,0,0,0,p
2018-10-26 09:00,2.106,0.020,1,0,0,0,p
2018-10-26 09:06,2.090,0.020,1,0,0,0,p
2018-10-26 09:12,2.070,0.020,0,0,0,0,p
2018-10-26 09:18,2.051,0.016,0,0,0,0,p
2018-10-26 09:24,2.044,0.016,1,0,0,0,p
2018-10-26 09:30,2.031,0.023,1,0,0,0,p
2018-10-26 09:36,1.995,0.016,0,0,0,0,p
2018-10-26 09:42,1.975,0.020,0,0,0,0,p
2018-10-26 09:48,1.962,0.016,0,0,0,0,p
2018-10-26 09:54,1.939,0.049,0,0,0,0,p
2018-10-26 10:00,1.936,0.016,0,0,0,0,p
2018-10-26 10:06,1.936,0.020,0,0,0,0,p
2018-10-26 10:12,1.949,0.020,0,0,0,0,p
2018-10-26 10:18,1.955,0.020,1,0,0,0,p
2018-10-26 10:24,1.906,0.016,1,0,0,0,p
2018-10-26 10:30,1.883,0.016,1,0,0,0,p
2018-10-26 10:36,1.864,0.020,1,0,0,0,p
2018-10-26 10:42,1.844,0.016,0,0,0,0,p
2018-10-26 10:48,1.818,0.016,1,0,0,0,p
2018-10-26 10:54,1.791,0.016,1,0,0,0,p
2018-10-26 11:00,1.775,0.020,1,0,0,0,p
2018-10-26 11:06,1.742,0.020,1,0,0,0,p
2018-10-26 11:12,1.752,0.023,1,0,0,0,p
2018-10-26 11:18,1.713,0.030,0,0,0,0,p
2018-10-26 11:24,1.722,0.033,1,0,0,0,p
2018-10-26 11:30,1.716,0.020,1,0,0,0,p
2018-10-26 11:36,1.686,0.020,1,0,0,0,p
2018-10-26 11:42,1.673,0.020,1,0,0,0,p
2018-10-26 11:48,1.663,0.020,1,0,0,0,p
2018-10-26 11:54,1.604,0.020,1,0,0,0,p
2018-10-26 12:00,1.673,0.023,1,0,0,0,p
2018-10-26 12:06,1.591,0.023,1,0,0,0,p
2018-10-26 12:12,1.654,0.033,1,0,0,0,p
2018-10-26 12:18,1.601,0.030,1,0,0,0,p
2018-10-26 12:24,1.598,0.030,1,0,0,0,p
2018-10-26 12:30,1.585,0.033,1,0,0,0,p
2018-10-26 12:36,1.588,0.023,1,0,0,0,p
2018-10-26 12:42,1.555,0.020,1,0,0,0,p
2018-10-26 12:48,1.555,0.020,1,0,0,0,p
2018-10-26 12:54,1.539,0.016,1,0,0,0,p
2018-10-26 13:00,1.526,0.023,1,0,0,0,p
2018-10-26 13:06,1.490,0.023,1,0,0,0,p
2018-10-26 13:12,1.470,0.026,0,0,0,0,p
2018-10-26 13:18,1.467,0.039,1,0,0,0,p
2018-10-26 13:24,1.460,0.026,1,0,0,0,p
2018-10-26 13:30,1.460,0.030,0,0,0,0,p
2018-10-26 13:36,1.447,0.036,1,0,0,0,p
2018-10-26 13:42,1.440,0.030,1,0,0,0,p
2018-10-26 13:48,1.440,0.026,1,0,0,0,p
2018-10-26 13:54,1.437,0.030,1,0,0,0,p
2018-10-26 14:00,1.440,0.049,0,0,0,0,p
2018-10-26 14:06,1.444,0.049,0,0,0,0,p
2018-10-26 14:12,1.440,0.023,1,0,0,0,p
2018-10-26 14:18,1.447,0.023,1,0,0,0,p
2018-10-26 14:24,1.444,0.023,1,0,0,0,p
2018-10-26 14:30,1.444,0.023,1,0,0,0,p
2018-10-26 14:36,1.437,0.036,1,0,0,0,p
2018-10-26 14:42,1.467,0.033,1,0,0,0,p
2018-10-26 14:48,1.457,0.036,1,0,0,0,p
2018-10-26 14:54,1.473,0.036,1,0,0,0,p
2018-10-26 15:00,1.480,0.049,1,0,0,0,p
2018-10-26 15:06,1.499,0.036,1,0,0,0,p
2018-10-26 15:12,1.490,0.039,1,0,0,0,p
2018-10-26 15:18,1.493,0.046,1,0,0,0,p
2018-10-26 15:24,1.496,0.043,1,0,0,0,p
2018-10-26 15:30,1.516,0.043,1,0,0,0,p
2018-10-26 15:36,1.516,0.043,1,0,0,0,p
2018-10-26 15:42,1.526,0.043,1,0,0,0,p
2018-10-26 15:48,1.476,0.039,1,0,0,0,p
2018-10-26 15:54,1.444,0.043,1,0,0,0,p
2018-10-26 16:00,1.430,0.056,1,0,0,0,p
2018-10-26 16:06,1.427,0.043,1,0,0,0,p
2018-10-26 16:12,1.430,0.043,1,0,0,0,p
2018-10-26 16:18,1.437,0.043,1,0,0,0,p
2018-10-26 16:24,1.463,0.043,1,0,0,0,p
2018-10-26 16:30,1.473,0.043,1,0,0,0,p
2018-10-26 16:36,1.460,0.036,1,0,0,0,p
2018-10-26 16:42,1.476,0.039,1,0,0,0,p
2018-10-26 16:48,1.453,0.039,1,0,0,0,p
2018-10-26 16:54,1.480,0.036,1,0,0,0,p
2018-10-26 17:00,1.480,0.049,1,0,0,0,p
2018-10-26 17:06,1.486,0.046,1,0,0,0,p
2018-10-26 17:12,1.483,0.039,1,0,0,0,p
2018-10-26 17:18,1.503,0.043,1,0,0,0,p
2018-10-26 17:24,1.519,0.043,1,0,0,0,p
2018-10-26 17:30,1.549,0.043,0,0,0,0,p
2018-10-26 17:36,1.535,0.043,1,0,0,0,p
2018-10-26 17:42,1.562,0.036,1,0,0,0,p
